input_ids,labels
"[822, 10, 149, 33, 1076, 6159, 138, 10461, 12223, 11, 4260, 58, 1]","[3137, 6159, 138, 10461, 33, 12223, 190, 1035, 892, 6, 1722, 6498, 6, 11, 1664, 7028, 3830, 224, 38, 23486, 42, 1717, 3830, 5, 13516, 931, 6002, 30, 8, 806, 9311, 68, 164, 560, 1406, 11554, 52, 7, 6, 27925, 3918, 6, 4026, 1112, 6, 42, 3730, 5, 1]"
"[822, 10, 149, 405, 3, 9, 2353, 31, 7, 7525, 1587, 1076, 6159, 257, 2860, 70, 16649, 31, 8136, 7, 13, 1076, 6159, 138, 533, 58, 1]","[71, 12758, 11, 1705, 7525, 45, 2353, 7, 54, 199, 1389, 1737, 1076, 6159, 257, 11, 2519, 1465, 643, 1023, 11, 1044, 18, 19958, 16, 70, 16649, 5, 1]"
"[822, 10, 103, 1076, 6159, 138, 8811, 373, 4093, 30, 3, 9, 6926, 2059, 18, 1135, 4005, 58, 1]","[465, 6, 1076, 6159, 138, 15164, 54, 5215, 5456, 859, 1742, 11, 164, 36, 10951, 42, 1200, 145, 2059, 477, 5, 94, 31, 7, 1389, 21, 1076, 6159, 138, 15164, 12, 23460, 342, 16, 2475, 45, 847, 12, 847, 5, 1]"
"[822, 10, 125, 33, 128, 775, 2428, 7865, 57, 1076, 6159, 1014, 1742, 383, 6912, 7, 58, 1]","[7729, 7, 164, 560, 2136, 13, 592, 12, 1076, 6159, 138, 494, 6, 1643, 4570, 21, 20105, 758, 6, 11, 1936, 21279, 12, 7952, 11, 17294, 5, 1]"
"[822, 10, 149, 43, 1100, 15858, 16, 1076, 6159, 138, 494, 8705, 3262, 11, 10959, 3315, 58, 1]","[8268, 7, 224, 38, 3, 28147, 1076, 6159, 138, 12294, 6, 10366, 17484, 6, 11, 3648, 26139, 494, 2674, 12, 1428, 2670, 11, 3262, 1113, 3, 2172, 12, 1435, 26139, 494, 5, 1]"
"[822, 10, 149, 54, 748, 11, 1125, 1438, 3391, 1076, 6159, 138, 11, 6949, 533, 1073, 58, 1]","[2276, 7, 6, 367, 5357, 6, 11, 6076, 1339, 54, 370, 3551, 6, 4034, 251, 11, 380, 21, 1076, 6159, 138, 11, 6949, 533, 1073, 5, 1]"
"[822, 10, 149, 54, 748, 1115, 2779, 13121, 16, 1076, 6159, 138, 533, 758, 58, 1]","[3669, 54, 370, 2779, 120, 6280, 3472, 1438, 6, 1612, 7314, 753, 6, 11, 23834, 3803, 12, 6563, 2399, 2779, 2869, 11, 11393, 5, 1]"
"[822, 10, 54, 1076, 6159, 138, 10461, 224, 38, 183, 35, 127, 52, 88, 9, 42, 16633, 904, 127, 52, 88, 9, 1113, 2100, 821, 58, 1]","[2163, 6, 175, 10461, 54, 2603, 27925, 2109, 6, 6817, 533, 6, 11, 1879, 1722, 168, 18, 9032, 6, 6149, 1113, 53, 12217, 821, 5, 1]"
"[822, 10, 125, 33, 8, 3976, 13, 414, 32, 8180, 32, 7, 159, 58, 1]","[3, 21828, 7, 13, 414, 32, 8180, 32, 7, 159, 164, 560, 29106, 75, 1406, 6, 10875, 8811, 6, 1406, 383, 1413, 19221, 6, 2437, 1076, 6159, 138, 19021, 6, 16, 1010, 17, 14277, 6, 11, 3, 30282, 3976, 224, 38, 28582, 42, 6900, 11537, 257, 5, 1]"
"[822, 10, 149, 43, 2779, 3808, 32, 32, 7, 11, 25852, 4161, 1076, 6159, 138, 1073, 2231, 1019, 892, 58, 1]","[13432, 3808, 32, 32, 7, 11, 25852, 3825, 1076, 6159, 257, 1664, 22190, 15, 26, 2231, 12, 370, 3452, 1076, 6159, 138, 1073, 6, 1374, 12, 1817, 6391, 11, 15853, 16, 1103, 5, 1]"
"[822, 10, 54, 1076, 6159, 257, 4093, 383, 8999, 58, 1]","[465, 6, 1076, 6159, 257, 405, 59, 4093, 383, 8999, 5, 611, 6, 128, 1742, 164, 351, 659, 19021, 42, 3, 7, 28586, 383, 778, 8999, 6, 84, 19, 315, 45, 3, 9, 1646, 1076, 6159, 138, 1059, 5, 1]"
"[822, 10, 149, 405, 13066, 6949, 533, 1073, 2519, 1705, 11, 380, 21, 2399, 1076, 6159, 1014, 1742, 58, 1]","[94, 8406, 7, 2399, 2704, 11, 26203, 6, 11313, 7, 23950, 6, 11, 2519, 7, 10493, 485, 16, 7574, 81, 1076, 6159, 257, 5, 1]"
"[822, 10, 149, 405, 2510, 2860, 2550, 533, 383, 1076, 6159, 257, 58, 1]","[21414, 54, 199, 18807, 15, 3976, 13, 7562, 11, 6261, 5, 1]"
"[822, 10, 16, 84, 1543, 19, 1076, 6159, 257, 557, 9443, 38, 3, 9, 6083, 13, 25646, 11, 2335, 4500, 58, 1]","[886, 25026, 9757, 6, 224, 38, 824, 13424, 797, 14430, 7, 5, 1]"
"[822, 10, 125, 33, 128, 2428, 1076, 164, 522, 16, 12104, 1076, 6159, 257, 58, 1]","[2067, 12840, 7, 6, 17294, 6, 11, 2136, 13, 1073, 164, 22190, 1076, 31, 7, 20463, 12, 4082, 16, 1076, 6159, 138, 533, 7574, 5, 1]"
"[822, 10, 125, 19, 8, 1075, 13, 414, 32, 8180, 32, 7, 159, 16, 3, 5885, 1076, 6159, 138, 1406, 58, 1]","[3720, 32, 8180, 138, 6316, 13919, 1067, 8, 3, 10525, 302, 6, 3, 5885, 13386, 11, 1406, 5, 1]"
"[822, 10, 149, 410, 4761, 2119, 7, 2860, 1076, 6159, 138, 1073, 16, 315, 9757, 58, 1]","[28789, 2119, 7, 557, 3, 6489, 18537, 1587, 1076, 6159, 257, 11, 3, 12913, 3472, 1397, 6, 28, 128, 5562, 7, 8943, 10293, 2610, 27850, 12898, 7, 11, 717, 3, 18218, 1076, 6159, 257, 139, 3428, 2869, 5, 1]"
"[822, 10, 125, 33, 8, 1017, 3976, 13, 6366, 7, 58, 1]","[7155, 3976, 13, 3246, 134, 560, 6526, 7180, 7, 6, 3, 16827, 17, 2020, 6, 13034, 6, 3, 4672, 1014, 6, 6748, 9024, 655, 6, 542, 24267, 7, 6, 11, 12085, 7, 5, 1]"
"[822, 10, 54, 25, 9728, 298, 5119, 3, 9, 3, 17, 4624, 106, 58, 1]","[2163, 6, 3, 17, 4624, 106, 7, 54, 36, 8842, 298, 5989, 5, 1]"
"[822, 10, 54, 1076, 6159, 138, 533, 1073, 36, 3, 13842, 21, 1742, 28, 12490, 58, 1]","[2163, 6, 190, 3551, 10874, 224, 38, 6397, 14424, 6, 1320, 1612, 6, 42, 2931, 1438, 5, 1]"
"[822, 10, 125, 1075, 103, 11210, 11, 2100, 2371, 577, 16, 3956, 3955, 9227, 31, 1076, 6159, 138, 533, 58, 1]","[328, 54, 370, 1073, 6, 482, 12758, 8258, 6, 11, 462, 4136, 761, 2023, 7, 12, 6563, 1076, 6159, 138, 523, 5, 1]"
"[822, 10, 149, 43, 941, 1076, 6159, 138, 1073, 6985, 14021, 12, 1115, 2399, 523, 11, 11177, 58, 1]","[5070, 6985, 560, 3452, 1076, 6159, 138, 1073, 16, 496, 5495, 2234, 83, 9, 6, 367, 1438, 11, 5357, 6, 573, 7009, 6, 11, 16830, 8203, 3, 8287, 44, 3, 7312, 1076, 6159, 138, 18298, 11, 93, 2880, 3357, 1707, 5, 1]"
"[822, 10, 33, 1076, 6159, 138, 1717, 11, 1646, 1717, 8, 337, 58, 1]","[465, 6, 1076, 6159, 138, 1717, 19, 59, 8, 337, 38, 1646, 1717, 5, 3137, 6159, 138, 1717, 2579, 3, 9, 4989, 13, 1717, 6, 6316, 45, 8, 3, 10525, 630, 3, 9424, 6, 11, 119, 5798, 7, 6, 298, 1646, 1717, 3, 5325, 3, 6848, 13, 1131, 1717, 2640, 11, 18309, 5, 1]"
"[822, 10, 149, 54, 1076, 6159, 138, 533, 14418, 16, 20386, 3803, 2519, 21377, 11, 26518, 58, 1]","[938, 3, 6475, 4161, 1742, 16, 1357, 18, 5239, 6, 1260, 1160, 16, 1076, 6159, 138, 494, 6, 11, 3, 14198, 2779, 3952, 23, 5499, 2197, 5, 1]"
"[822, 10, 125, 19, 414, 32, 8180, 32, 7, 159, 58, 1]","[3720, 32, 8180, 32, 7, 159, 19, 3, 9, 10875, 9311, 16, 84, 6316, 1126, 12, 8, 3, 9424, 1096, 8, 3, 10525, 302, 41, 989, 32, 8180, 440, 61, 13919, 1067, 8, 3, 10525, 302, 6, 5871, 30, 8, 3, 32, 15550, 6, 1590, 18916, 29, 17927, 6, 11, 8, 6316, 3, 9424, 8, 29106, 7, 5, 1]"
"[822, 10, 125, 33, 1076, 6159, 138, 1397, 58, 1]","[3137, 6159, 138, 1397, 33, 8, 1397, 261, 12, 4105, 11, 3480, 1076, 6159, 138, 1717, 6, 379, 3, 30688, 17484, 6, 10366, 7, 6, 3, 17, 4624, 106, 7, 6, 42, 12294, 6, 84, 54, 36, 26139, 42, 3, 28147, 6, 3907, 42, 529, 18, 29446, 26, 494, 5, 1]"
"[822, 10, 125, 33, 128, 1017, 2428, 1076, 6159, 1014, 1742, 522, 16, 8, 6940, 58, 1]","[22105, 13, 592, 12, 1076, 6159, 138, 494, 6, 25852, 6, 11, 22666, 6940, 3101, 5, 1]"
"[822, 10, 19, 34, 1176, 24, 1076, 6159, 257, 54, 2860, 542, 24267, 7, 58, 1]","[2163, 6, 27925, 1112, 383, 8, 1076, 6159, 138, 4005, 54, 2860, 542, 24267, 7, 21, 128, 1742, 5, 205, 11852, 53, 7, 21, 824, 1308, 13, 4371, 6, 224, 38, 2093, 7, 42, 3136, 63, 12751, 6, 164, 993, 383, 806, 17258, 13, 8, 1076, 6159, 138, 4005, 5, 1]"
"[822, 10, 149, 410, 6718, 23, 138, 18, 1498, 2253, 5414, 2860, 18537, 1587, 1076, 6159, 257, 16, 6718, 1601, 18804, 58, 1]","[30709, 18, 1498, 2253, 5414, 1664, 3, 16068, 3782, 4761, 11393, 11, 2620, 2400, 19771, 11683, 6, 3, 28753, 18537, 1587, 1076, 6159, 257, 11, 1664, 7101, 1161, 75, 53, 25852, 7, 42, 3808, 32, 32, 7, 3825, 1076, 6159, 257, 5, 1]"
"[822, 10, 149, 405, 1076, 32, 9033, 1113, 6817, 533, 58, 1]","[374, 24706, 26, 31121, 1425, 383, 1076, 32, 9033, 54, 991, 12, 6817, 11048, 1453, 11, 1936, 1020, 13, 23026, 102, 32, 1859, 159, 5, 1]"
"[822, 10, 149, 103, 1076, 6159, 138, 556, 20356, 4139, 12, 643, 1023, 8136, 7, 58, 1]","[29555, 4128, 557, 31324, 342, 26524, 7, 11, 31820, 4454, 6, 3, 13403, 149, 1742, 21505, 70, 5678, 383, 1076, 6159, 257, 5, 1]"
"[822, 10, 125, 19, 8, 1113, 13, 1076, 6159, 138, 8408, 6985, 30, 1879, 7285, 18963, 58, 1]","[328, 4139, 12, 7814, 323, 13121, 12, 1073, 6, 4311, 6, 11, 5178, 16, 452, 280, 21, 1076, 6159, 1014, 1742, 5, 1]"
"[822, 10, 125, 1075, 405, 1073, 577, 16, 740, 3410, 81, 1076, 6159, 257, 58, 1]","[2855, 4805, 3, 9, 4462, 1075, 16, 740, 3410, 81, 1076, 6159, 257, 57, 1260, 4034, 251, 81, 8, 1076, 6159, 138, 4005, 6, 1076, 6159, 138, 20105, 2869, 6, 11, 1017, 1076, 6159, 138, 3976, 5, 17725, 8, 11432, 2842, 1187, 1076, 6159, 257, 54, 199, 887, 473, 25259, 11, 9839, 81, 70, 5678, 5, 1]"
"[822, 10, 149, 54, 2061, 11, 3472, 4222, 482, 13066, 8258, 21, 3017, 122, 3868, 481, 383, 1076, 6159, 257, 1073, 58, 1]","[3, 29, 10562, 7, 757, 8258, 7789, 3, 18218, 3017, 122, 3868, 18, 23099, 15, 1397, 6, 761, 16530, 30, 3017, 122, 3868, 807, 6, 11, 1445, 53, 481, 31, 3934, 3056, 11, 813, 15358, 29, 7, 383, 7574, 5, 1]"
"[822, 10, 33, 132, 806, 4587, 7, 21, 1076, 6159, 138, 556, 408, 21, 1742, 28, 12490, 58, 1]","[2163, 6, 224, 38, 4226, 13, 169, 6, 3374, 2020, 6, 11, 14235, 485, 28, 2094, 757, 1904, 5, 1]"
"[822, 10, 125, 33, 128, 2428, 1968, 28, 1076, 6159, 138, 20105, 3, 58, 1]","[7729, 7, 1968, 28, 3137, 6159, 138, 5555, 122, 15067, 2159, 560, 2136, 13, 592, 12, 2950, 1076, 6159, 138, 494, 6, 22666, 30525, 2465, 6, 2779, 3808, 32, 32, 7, 11, 25852, 7, 6, 11, 1643, 1103, 81, 1076, 6159, 138, 20105, 5, 1]"
"[822, 10, 125, 2580, 4139, 12, 1076, 6159, 138, 16, 15, 10073, 63, 16, 2421, 9352, 58, 1]","[11543, 127, 7, 560, 9569, 6, 2136, 13, 592, 12, 1076, 6159, 138, 494, 6, 22666, 30525, 2465, 6, 2779, 3808, 32, 32, 7, 6, 11, 1643, 1076, 6159, 138, 533, 1073, 5, 1]"
"[822, 10, 149, 405, 840, 28, 3, 9, 6658, 7095, 1113, 2550, 533, 383, 1076, 6159, 257, 58, 1]","[94, 54, 3, 31488, 2189, 6, 6261, 6, 11, 7562, 6, 3, 13403, 3, 22375, 12009, 11, 1879, 463, 13, 280, 5, 1]"
"[822, 10, 125, 1075, 103, 4640, 3580, 577, 16, 3, 14198, 1076, 6159, 138, 533, 523, 21, 1742, 28, 12490, 58, 1]","[328, 54, 370, 11051, 1867, 6, 380, 6, 11, 18044, 21, 5037, 1076, 6159, 257, 5, 1]"
"[822, 10, 149, 103, 3, 23, 214, 3, 99, 3, 23, 43, 3, 9, 1076, 6159, 138, 9311, 58, 1]","[6365, 7, 13, 3, 9, 1076, 6159, 138, 9311, 560, 22085, 8811, 6, 2033, 2437, 42, 659, 8811, 6, 5274, 1076, 6159, 138, 24268, 7, 6, 22914, 8811, 6, 11, 119, 17947, 1076, 6159, 138, 3976, 24, 18960, 28, 1444, 280, 5, 1]"
"[822, 10, 54, 1076, 6159, 138, 12294, 36, 261, 57, 1742, 28, 3, 9, 20382, 15, 26, 3, 10525, 302, 58, 1]","[2163, 6, 79, 54, 6563, 796, 46, 20844, 138, 8803, 5, 1]"
"[822, 10, 125, 19, 3, 32, 208, 7830, 58, 1]","[411, 208, 7830, 19, 8, 433, 57, 84, 3, 9, 10281, 6182, 19, 1883, 45, 8, 3, 6194, 651, 11, 1111, 7, 323, 8, 1590, 18916, 29, 8017, 6, 213, 34, 164, 36, 20859, 1601, 57, 3, 4339, 51, 3, 99, 1413, 19221, 6986, 5, 1]"
"[822, 10, 125, 1075, 103, 1291, 6985, 577, 16, 3, 7312, 1076, 6159, 138, 533, 38, 3, 9, 27820, 269, 58, 1]","[328, 54, 766, 592, 12, 2950, 494, 6, 1073, 6, 11, 4640, 364, 5, 1]"
"[822, 10, 149, 54, 1076, 6159, 138, 533, 1073, 36, 4580, 139, 1895, 7850, 58, 1]","[938, 3, 18218, 4064, 139, 7404, 114, 15651, 6, 533, 1073, 6, 11, 569, 2116, 5, 1]"
"[822, 10, 125, 33, 1076, 6159, 138, 24268, 7, 58, 1]","[12991, 7, 904, 127, 52, 88, 9, 19, 8, 1035, 1657, 21, 1076, 6159, 138, 24268, 7, 6, 2953, 57, 3, 10525, 630, 26414, 7, 5, 14542, 16633, 904, 127, 52, 88, 9, 2401, 7, 12, 3, 60, 14907, 6, 24268, 63, 1406, 16198, 28, 1076, 2260, 16, 8, 8605, 13, 3, 9, 9311, 6, 298, 6980, 16633, 904, 127, 52, 88, 9, 1]"
"[822, 10, 3, 2381, 54, 1076, 6159, 138, 20105, 758, 36, 4580, 139, 3, 13627, 452, 533, 14418, 16, 20386, 3803, 58, 1]","[16955, 5806, 3, 18218, 1076, 6159, 138, 533, 139, 387, 6, 30525, 6, 11, 20105, 41, 518, 21337, 61, 1356, 6, 27820, 533, 364, 6, 11, 7285, 18, 22118, 533, 14418, 441, 20386, 7216, 5, 1]"
"[822, 10, 149, 410, 4332, 5638, 224, 38, 5436, 10496, 2206, 7, 4139, 12, 778, 1705, 7, 13, 1076, 6159, 257, 58, 1]","[16337, 10496, 2206, 7, 4382, 16348, 81, 8, 662, 13934, 7, 3, 28753, 1076, 6159, 138, 15164, 6, 3, 14720, 8, 3361, 21, 778, 1035, 2441, 30, 1076, 6159, 257, 5, 1]"
"[822, 10, 125, 33, 8, 3957, 13, 3, 9, 2437, 1076, 6159, 138, 2537, 58, 1]","[6365, 7, 13, 3, 9, 2437, 1076, 6159, 138, 2537, 560, 3, 27848, 190, 80, 42, 72, 17484, 42, 3, 17, 4624, 106, 7, 334, 1781, 21, 633, 12096, 716, 6, 5792, 508, 1717, 3, 3903, 17, 7, 6, 11, 8154, 3976, 114, 13034, 11, 710, 655, 13, 6522, 5, 1]"
"[822, 10, 149, 103, 3733, 3703, 1113, 8, 3262, 16630, 13, 1076, 6159, 138, 494, 58, 1]","[3, 22065, 3, 28147, 11, 9211, 18, 4905, 931, 54, 199, 10558, 3262, 1113, 5, 1]"
"[822, 10, 54, 1076, 6159, 138, 533, 3101, 16, 8, 6940, 4139, 12, 7285, 18963, 58, 1]","[2163, 6, 79, 54, 1115, 7285, 8378, 2197, 16, 592, 12, 1438, 11, 380, 21, 5037, 1076, 6159, 257, 44, 161, 5, 1]"
"[822, 10, 405, 578, 22085, 8811, 1243, 424, 19, 1786, 28, 82, 27820, 358, 58, 1]","[933, 6539, 5, 27, 52, 60, 122, 4885, 8811, 54, 36, 2953, 57, 796, 2580, 6, 379, 2189, 6, 27925, 24809, 7, 6, 1112, 16, 1293, 6, 11, 824, 1035, 1124, 5, 818, 22085, 8811, 164, 1664, 6360, 46, 3, 10067, 962, 6, 79, 54, 92, 36, 1389, 21, 128, 1742, 5, 1]"
"[822, 10, 125, 19, 8, 2757, 194, 12, 9067, 13, 261, 3, 30688, 17484, 58, 1]","[22553, 135, 16, 1040, 11, 9067, 13, 135, 16, 3, 9, 2701, 5, 1]"
"[822, 10, 125, 33, 128, 3266, 21, 3, 14198, 981, 13121, 12, 1076, 6159, 138, 4640, 364, 58, 1]","[180, 8130, 53, 18, 6649, 3051, 6, 3, 31762, 26, 364, 6, 11, 789, 18, 18532, 1356, 54, 199, 143, 4640, 364, 72, 2950, 5, 1]"
"[822, 10, 149, 54, 4640, 3580, 1115, 8, 775, 1076, 6159, 138, 533, 523, 13, 1742, 28, 6658, 21154, 58, 1]","[938, 1260, 3452, 124, 6, 3, 14198, 576, 12135, 53, 1124, 6, 11, 3956, 16676, 168, 18, 9032, 5, 1]"
"[822, 10, 149, 19, 3, 102, 509, 7, 12223, 11, 3030, 58, 1]","[2104, 3638, 19, 12223, 3, 390, 30, 3976, 6, 1035, 892, 6, 1722, 6498, 6, 11, 7028, 3830, 224, 38, 1717, 3830, 41, 235, 3613, 11932, 1425, 61, 11, 23486, 41, 235, 5443, 8, 3, 32, 15550, 137, 2159, 13, 2104, 3638, 5806, 4026, 1112, 41, 2498, 17, 6, 2510, 201, 7757, 12, 16363, 1076, 6159, 138, 15164, 11, 11932, 1425, 6, 11, 1]"
"[822, 10, 149, 103, 1076, 6159, 138, 556, 19518, 53, 4096, 16, 6940, 7, 4139, 12, 1076, 6159, 138, 533, 58, 1]","[328, 370, 4979, 592, 12, 494, 21, 1076, 6159, 1014, 1652, 5, 1]"
"[822, 10, 125, 1075, 410, 6718, 23, 138, 1035, 14004, 577, 16, 3, 14198, 1076, 6159, 138, 533, 16, 6718, 1601, 6266, 58, 1]","[6718, 23, 138, 1035, 14004, 557, 2937, 30, 3, 26781, 3782, 1035, 2869, 6, 379, 1076, 6159, 138, 20105, 2443, 6, 2400, 19771, 11683, 6, 1664, 18339, 53, 42, 30104, 53, 1435, 2869, 11, 2779, 11393, 5, 1]"
"[822, 10, 3, 2381, 19, 414, 32, 8180, 32, 7, 159, 12223, 11, 4260, 58, 1]","[3720, 32, 8180, 32, 7, 159, 19, 12223, 190, 3, 9, 2711, 13, 1035, 892, 6, 29106, 75, 14026, 6, 12586, 3830, 41, 4415, 38, 23486, 42, 3, 19045, 201, 11, 50, 1893, 23643, 3730, 21, 20374, 8209, 5, 13516, 931, 560, 1406, 758, 28, 7757, 6, 27925, 3918, 6, 11, 11685, 4614, 13, 414, 32, 8180, 138, 6316, 5, 1]"
"[822, 10, 54, 3879, 610, 2603, 82, 1076, 6159, 138, 4005, 58, 1]","[2163, 6, 3879, 610, 2254, 224, 38, 27925, 5314, 6873, 8763, 54, 16363, 11, 1664, 237, 6312, 1076, 6159, 138, 8811, 5, 611, 6, 79, 54, 92, 1137, 1112, 16, 1076, 6159, 138, 2537, 11, 1646, 485, 5, 1]"
"[822, 10, 149, 405, 3, 14312, 9, 159, 51, 16910, 2174, 1076, 6159, 257, 441, 4761, 2869, 58, 1]","[3137, 6159, 1014, 1742, 164, 1130, 806, 12898, 7, 6, 224, 38, 703, 2427, 77, 53, 45, 6949, 1756, 383, 1076, 6159, 257, 5, 1]"
"[822, 10, 149, 103, 11932, 19571, 11, 7285, 18, 27236, 51, 53, 27503, 1113, 1076, 6159, 257, 21, 3017, 122, 3868, 1742, 58, 1]","[6766, 2157, 15, 19571, 11, 27503, 164, 8310, 1076, 6159, 138, 4264, 42, 6312, 1076, 6159, 257, 16889, 21, 3017, 122, 3868, 1742, 3, 22725, 7285, 3508, 5, 1]"
"[822, 10, 125, 19, 8, 1075, 13, 3, 122, 29, 52, 107, 41, 839, 25065, 12395, 77, 18, 16306, 11932, 61, 16, 8, 1076, 6159, 138, 4005, 58, 1]","[472, 603, 14270, 7, 8, 1576, 13, 377, 9122, 11, 301, 566, 45, 8, 7688, 76, 155, 1208, 20560, 5, 1]"
"[822, 10, 149, 231, 1717, 19, 1513, 383, 1076, 6159, 257, 58, 1]","[461, 1348, 6, 3, 9, 1076, 6159, 1014, 928, 2615, 7, 81, 604, 12, 1283, 3293, 23, 9842, 7, 41, 51, 40, 61, 13, 1717, 383, 284, 1076, 6159, 138, 1059, 6, 2199, 8, 866, 54, 5215, 5, 1]"
"[822, 10, 125, 19, 8, 1657, 21, 1260, 1076, 6159, 138, 1073, 12, 5234, 11, 3567, 544, 58, 1]","[638, 18, 29117, 5, 1]"
"[822, 10, 149, 405, 7285, 18, 390, 4756, 27806, 28, 1076, 6159, 138, 20105, 758, 16, 20386, 3803, 58, 1]","[350, 3868, 18, 390, 4756, 164, 20, 449, 1742, 45, 592, 53, 1346, 30525, 2465, 42, 3945, 1076, 6159, 138, 494, 6, 1215, 9, 2110, 115, 1014, 1076, 6159, 138, 20105, 2428, 11, 3094, 21279, 12, 6263, 5, 1]"
"[822, 10, 33, 132, 136, 1246, 9076, 21, 338, 1076, 6159, 138, 12294, 58, 1]","[465, 6, 1076, 6159, 138, 12294, 54, 36, 261, 57, 1742, 13, 66, 3, 2568, 5, 1]"
"[822, 10, 125, 19, 8, 711, 2337, 13, 3, 28147, 1076, 6159, 138, 494, 58, 1]","[328, 33, 583, 18, 8993, 11, 17492, 2609, 5, 1]"
"[822, 10, 54, 6658, 21154, 2603, 8, 9570, 13, 27925, 5314, 6873, 8763, 21, 5037, 1076, 6159, 138, 3976, 58, 1]","[2163, 6, 824, 11208, 42, 27925, 24809, 7, 164, 1113, 8, 13577, 447, 4710, 42, 12, 1171, 2020, 13, 27925, 5314, 6873, 8763, 5, 1]"
"[822, 10, 149, 54, 10524, 1115, 1076, 6159, 138, 8408, 190, 1291, 6985, 58, 1]","[938, 3, 8499, 5161, 30, 1076, 6159, 138, 494, 6, 1260, 339, 42, 3, 31762, 26, 494, 16, 2061, 11, 452, 4856, 6, 11, 3, 10311, 3452, 1076, 6159, 138, 533, 3101, 5, 1]"
"[822, 10, 125, 1075, 410, 5562, 577, 16, 20266, 4332, 18537, 1587, 1076, 6159, 257, 58, 1]","[28789, 11393, 557, 19810, 26, 1076, 6159, 138, 2869, 11, 3808, 32, 32, 7, 6, 3, 28753, 149, 1076, 6159, 257, 47, 14057, 11, 3030, 16, 315, 18804, 5, 1]"
"[822, 10, 149, 54, 13066, 1612, 16, 6940, 3101, 4139, 12, 1076, 6159, 138, 533, 58, 1]","[94, 2519, 7, 539, 7478, 11, 93, 2880, 3357, 1737, 7, 9029, 81, 1076, 6159, 257, 5, 1]"
"[822, 10, 149, 103, 9211, 18, 4905, 1076, 6159, 138, 494, 4139, 12, 3, 5503, 2670, 16, 24929, 7, 58, 1]","[938, 3, 5503, 8, 866, 13, 712, 18, 1074, 26139, 494, 3, 29611, 284, 847, 5, 1]"
"[822, 10, 149, 405, 8, 2136, 13, 592, 12, 1076, 6159, 138, 494, 2603, 1742, 31, 27820, 2166, 58, 1]","[94, 54, 22190, 70, 1418, 12, 1865, 1076, 6159, 257, 7794, 11, 28, 21377, 5, 1]"
"[822, 10, 149, 410, 8, 2913, 9481, 1113, 1076, 6159, 138, 20105, 2869, 58, 1]","[37, 9199, 12197, 2237, 12, 8, 3294, 999, 13, 26139, 1076, 6159, 138, 494, 6, 492, 135, 72, 3551, 12, 8, 879, 2074, 5, 1]"
"[822, 10, 125, 1075, 410, 12702, 322, 15, 11, 1355, 7, 17, 4749, 577, 16, 20266, 1076, 6159, 138, 11393, 11, 2869, 58, 1]","[19848, 322, 15, 11, 1355, 7, 17, 4749, 9859, 12, 11393, 16, 1076, 6159, 138, 3808, 32, 32, 7, 6, 224, 38, 3, 16217, 824, 1087, 42, 4371, 383, 1076, 6159, 257, 6, 11, 3, 12913, 2779, 18537, 1587, 1076, 6159, 257, 5, 1]"
"[822, 10, 149, 103, 2779, 11393, 81, 1076, 6159, 257, 5215, 859, 19771, 2597, 58, 1]","[493, 1896, 89, 7, 164, 620, 45, 26236, 3772, 11, 5216, 12, 3808, 32, 32, 7, 11, 9076, 5, 1]"
"[822, 10, 54, 3, 28147, 1076, 6159, 138, 494, 199, 1428, 3262, 1113, 58, 1]","[2163, 6, 79, 54, 4019, 1428, 2670, 11, 3487, 5962, 147, 97, 5, 1]"
"[822, 10, 125, 1075, 54, 17883, 179, 1076, 6159, 138, 494, 577, 16, 3, 5503, 3262, 1113, 58, 1]","[328, 462, 3, 9, 2392, 221, 3987, 179, 2433, 12, 7450, 26139, 494, 5, 1]"
"[822, 10, 149, 54, 1076, 6159, 138, 8408, 6985, 16, 2421, 9352, 14223, 887, 11, 3567, 58, 1]","[3137, 6159, 138, 8408, 6985, 2519, 592, 12, 1073, 6, 1456, 1645, 6, 11, 27820, 533, 364, 6, 3, 23988, 887, 11, 3567, 12, 991, 11960, 11, 72, 8946, 1342, 5, 1]"
"[822, 10, 149, 103, 2392, 221, 3987, 179, 17484, 7641, 45, 1435, 17484, 58, 1]","[328, 33, 263, 45, 1397, 24, 1733, 323, 72, 1153, 16, 8, 1164, 5, 1]"
"[822, 10, 125, 130, 128, 1017, 1397, 261, 21, 1076, 6159, 138, 20105, 16, 4913, 20927, 7, 58, 1]","[16158, 1285, 10366, 6, 13996, 6, 1475, 6433, 7, 6, 11, 2586, 1133, 7, 6, 557, 3, 19084, 139, 143, 22872, 17484, 42, 8074, 295, 6013, 7, 5, 1]"
"[822, 10, 125, 33, 1017, 3976, 1906, 383, 1076, 6159, 257, 58, 1]","[7155, 3976, 383, 1076, 6159, 257, 560, 1076, 6159, 138, 24268, 7, 41, 26, 63, 7, 904, 127, 52, 88, 9, 201, 3, 4672, 1014, 6, 6748, 9024, 655, 6, 13034, 6, 6526, 7180, 7, 6, 12085, 6, 11, 15496, 5, 1]"
"[822, 10, 149, 307, 405, 3, 32, 208, 7830, 1086, 336, 383, 8, 1076, 6159, 138, 4005, 58, 1]","[411, 208, 7830, 3115, 336, 7, 21, 81, 997, 12, 4678, 716, 383, 8, 1076, 6159, 138, 4005, 5, 1]"
